2025-06-30 14:04:41.607361 | 10.0.2.15 → 10.0.2.3 | UDP | DNS
2025-06-30 14:04:41.607414 | 10.0.2.15 → 10.0.2.3 | UDP | DNS
2025-06-30 14:04:41.632795 | 10.0.2.3 → 10.0.2.15 | UDP | DNS
2025-06-30 14:04:41.632796 | 10.0.2.3 → 10.0.2.15 | UDP | DNS
2025-06-30 14:04:41.633043 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:04:41.649054 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:04:41.649292 | 10.0.2.15 → 10.0.2.3 | UDP | DNS
2025-06-30 14:04:41.665820 | 10.0.2.3 → 10.0.2.15 | UDP | DNS
2025-06-30 14:04:42.634223 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:04:42.651259 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:04:43.635380 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:04:43.678596 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:04:44.636701 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:04:44.655140 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:04:45.638594 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:04:45.655465 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:04:46.639868 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:04:46.656188 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:04:47.641322 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:04:47.658231 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:04:48.642445 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:04:48.659448 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:04:49.642692 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:04:49.660306 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:04:50.644344 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:04:50.660646 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:04:51.646031 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:04:51.662806 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:04:52.647086 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:04:52.663484 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:04:53.648989 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:04:53.666415 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:04:54.650923 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:04:54.669475 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:04:55.654735 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:04:55.671428 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:04:56.655620 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:04:56.672426 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:04:57.657267 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:04:57.675562 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:04:58.659306 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:04:58.676233 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:04:59.661430 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:04:59.678016 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:05:00.662143 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:05:00.679241 | 76.223.113.161 → 10.0.2.15 | None | ICMP
